,id,host_id,district,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
225,819957,4306694,West End,Dovercourt-Wallace Emerson-Junction,43.66744,-79.42984,Private room,70,3,6,2019-07-15,0.08,1,87,2019,7,15
226,819981,4306837,West End,Dufferin Grove,43.65217,-79.43591,Entire home/apt,45,1,25,2018-09-09,0.83,1,34,2018,9,9
227,820177,149566,West End,Palmerston-Little Italy,43.65696,-79.42003,Entire home/apt,87,2,34,2019-09-15,0.4,2,209,2019,9,15
228,822085,4316883,North End,Rosedale-Moore Park,43.68885,-79.37839,Entire home/apt,981,3,7,2019-08-05,0.13,1,354,2019,8,5
230,829737,349619,Downtown Core,Regent Park,43.66101,-79.36323,Entire home/apt,85,4,5,2019-08-01,0.18,3,0,2019,8,1
231,832458,4357559,West End,Palmerston-Little Italy,43.65474,-79.42532,Entire home/apt,85,3,162,2019-10-09,1.91,1,12,2019,10,9
232,833588,4361863,Downtown Core,Annex,43.67034,-79.39203,Entire home/apt,98,10,6,2019-11-09,0.08,1,241,2019,11,9
233,834150,3491443,West End,Little Portugal,43.65132,-79.43274,Private room,45,2,34,2018-05-12,0.4,2,0,2018,5,12
235,840235,4073298,West End,High Park-Swansea,43.64422,-79.47561,Entire home/apt,87,1,154,2019-12-01,2.79,1,319,2019,12,1
238,843521,4403844,North End,Forest Hill South,43.68911,-79.41412,Entire home/apt,135,2,108,2019-01-12,1.41,1,0,2019,1,12
239,849500,4435131,Downtown Core,Moss Park,43.65243,-79.36779,Private room,80,5,134,2019-10-24,1.63,1,336,2019,10,24
240,850109,65479,North York,Pleasant View,43.78025,-79.32878,Private room,33,1,11,2019-10-31,0.15,8,365,2019,10,31
241,850246,65479,North York,Pleasant View,43.7797,-79.32882,Private room,24,7,5,2017-05-17,0.06,8,338,2017,5,17
242,852013,1919294,Downtown Core,Waterfront Communities-The Island,43.63711,-79.39728,Entire home/apt,190,28,3,2019-01-07,0.04,82,99,2019,1,7
243,855991,4477219,Downtown Core,Church-Yonge Corridor,43.65301,-79.37899,Entire home/apt,160,2,8,2019-08-11,0.13,4,341,2019,8,11
